buda,turku,hawaii,oslo,lajolla,tokyo,devon
#B200B2,#000000,#8C0172,#000000,#FFFFCC,#190D33,#2B194C
#B32E9C,#272725,#922D55,#0C1D2F,#FAE98E,#4E2050,#27386B
#BB4D8F,#4B483E,#964D3E,#163C60,#F1C659,#7B476F,#26588E
#C56987,#706A51,#9A6E28,#275C95,#E99D53,#8A6B7E,#3C6FBA
#CC847D,#9A8C67,#9B951B,#4D7CC6,#E0754F,#908B86,#788BDA
#D3A076,#C99F7E,#89BC48,#7797CA,#C34C4A,#95AC8F,#ADA7ED
#DBBD6F,#EBA597,#6BD48C,#9FAFC8,#883E3A,#A0CF9A,#C8C3F3
#E3DB68,#FDC4C3,#66E8D3,#CBCDD0,#4C2A1B,#D3F7BA,#E3E1F8
#FFFF66,#FFE5E5,#B2F2FD,#FFFFFF,#191900,#FFFFD8,#FFFFFF
